iter	Passed	Remaining
0	2	222
1	4	210
2	6	204
3	7	182
4	9	175
5	11	175
6	13	174
7	14	171
8	16	168
9	18	166
10	20	163
11	22	161
12	23	158
13	25	156
14	27	154
15	28	150
16	30	147
17	32	146
18	33	143
19	35	142
20	37	140
21	39	138
22	40	136
23	42	134
24	44	133
25	46	131
26	48	129
27	49	127
28	51	125
29	52	123
30	54	121
31	56	119
32	58	117
33	59	115
34	61	113
35	62	111
36	64	109
37	66	108
38	67	105
39	69	104
40	71	102
41	72	99
42	74	98
43	75	96
44	77	94
45	78	92
46	80	91
47	82	89
48	84	88
49	86	86
50	87	84
51	89	82
52	91	81
53	93	79
54	94	77
55	96	75
56	98	74
57	100	72
58	101	70
59	103	69
60	105	67
61	106	65
62	108	63
63	109	61
64	110	59
65	112	58
66	114	56
67	116	54
68	117	53
69	119	51
70	121	49
71	123	48
72	125	46
73	126	44
74	128	42
75	130	41
76	132	39
77	134	37
78	136	36
79	138	34
80	139	32
81	141	31
82	142	29
83	144	27
84	146	25
85	148	24
86	149	22
87	151	20
88	152	18
89	154	17
90	155	15
91	157	13
92	158	11
93	160	10
94	161	8
95	163	6
96	164	5
97	165	3
98	166	1
99	168	0
