iter	Passed	Remaining
0	0	87
1	1	82
2	2	77
3	3	82
4	4	89
5	5	86
6	6	87
7	7	87
8	8	86
9	9	83
10	9	80
11	10	77
12	11	75
13	12	76
14	13	76
15	14	75
16	15	73
17	15	72
18	16	70
19	17	69
20	18	68
21	19	70
22	20	70
23	21	69
24	22	68
25	23	67
26	24	67
27	25	66
28	27	66
29	27	65
30	28	63
31	29	62
32	30	61
33	31	61
34	32	61
35	34	61
36	35	61
37	37	60
38	38	59
39	39	58
40	40	57
41	40	55
42	41	54
43	41	53
44	42	51
45	43	50
46	44	49
47	45	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	43
54	51	42
55	52	41
56	53	40
57	53	39
58	54	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	59	32
65	60	31
66	61	30
67	62	29
68	62	28
69	64	27
70	65	26
71	66	25
72	67	24
73	67	23
74	69	23
75	69	22
76	70	21
77	71	20
78	71	19
79	72	18
80	73	17
81	73	16
82	75	15
83	76	14
84	77	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	83	6
93	84	5
94	85	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
